Current Node,Time,Neighbor Node ID,Neighbor Node Rep
10.1.1.1,100,10.1.1.9,8
10.1.1.1,100,10.1.1.10,6
10.1.1.2,100,10.1.1.1,6
10.1.1.2,100,10.1.1.2,10
10.1.1.2,100,10.1.1.3,6
10.1.1.2,100,10.1.1.4,6
10.1.1.2,100,10.1.1.5,6
10.1.1.2,100,10.1.1.6,7
10.1.1.2,100,10.1.1.7,6
10.1.1.2,100,10.1.1.8,4
10.1.1.2,100,10.1.1.9,10
10.1.1.2,100,10.1.1.10,6
10.1.1.3,100,10.1.1.1,4
10.1.1.3,100,10.1.1.2,4
10.1.1.3,100,10.1.1.3,10
10.1.1.3,100,10.1.1.4,6
10.1.1.3,100,10.1.1.5,4
10.1.1.3,100,10.1.1.6,4
10.1.1.3,100,10.1.1.7,5
10.1.1.3,100,10.1.1.8,4
10.1.1.3,100,10.1.1.9,6
10.1.1.3,100,10.1.1.10,8
10.1.1.4,100,10.1.1.1,6
10.1.1.4,100,10.1.1.2,6
10.1.1.4,100,10.1.1.3,6
10.1.1.4,100,10.1.1.4,10
10.1.1.4,100,10.1.1.5,6
10.1.1.4,100,10.1.1.6,4
10.1.1.4,100,10.1.1.7,4
10.1.1.4,100,10.1.1.8,6
10.1.1.4,100,10.1.1.9,8
10.1.1.4,100,10.1.1.10,4
10.1.1.5,100,10.1.1.1,6
10.1.1.5,100,10.1.1.2,7
10.1.1.5,100,10.1.1.3,6
10.1.1.5,100,10.1.1.4,6
10.1.1.5,100,10.1.1.5,10
10.1.1.5,100,10.1.1.6,4
10.1.1.5,100,10.1.1.7,6
10.1.1.5,100,10.1.1.8,4
10.1.1.5,100,10.1.1.9,6
10.1.1.5,100,10.1.1.10,8
10.1.1.6,100,10.1.1.1,6
10.1.1.6,100,10.1.1.2,6
10.1.1.6,100,10.1.1.3,4
10.1.1.6,100,10.1.1.4,6
10.1.1.6,100,10.1.1.5,4
10.1.1.6,100,10.1.1.6,10
10.1.1.6,100,10.1.1.7,6
10.1.1.6,100,10.1.1.8,4
10.1.1.6,100,10.1.1.9,6
10.1.1.6,100,10.1.1.10,8
10.1.1.7,100,10.1.1.1,6
10.1.1.7,100,10.1.1.2,6
10.1.1.7,100,10.1.1.3,6
10.1.1.7,100,10.1.1.4,4
10.1.1.7,100,10.1.1.5,6
10.1.1.7,100,10.1.1.6,6
10.1.1.7,100,10.1.1.7,10
10.1.1.7,100,10.1.1.8,4
10.1.1.7,100,10.1.1.9,8
10.1.1.7,100,10.1.1.10,6
10.1.1.8,100,10.1.1.1,4
10.1.1.8,100,10.1.1.2,4
10.1.1.8,100,10.1.1.3,4
10.1.1.8,100,10.1.1.4,5
10.1.1.8,100,10.1.1.5,4
10.1.1.8,100,10.1.1.6,4
10.1.1.8,100,10.1.1.7,4
10.1.1.8,100,10.1.1.8,10
10.1.1.8,100,10.1.1.9,8
10.1.1.8,100,10.1.1.10,4
10.1.1.9,100,10.1.1.1,8
10.1.1.9,100,10.1.1.2,8
10.1.1.9,100,10.1.1.3,0
10.1.1.9,100,10.1.1.4,8
10.1.1.9,100,10.1.1.5,0
10.1.1.9,100,10.1.1.6,5
10.1.1.9,100,10.1.1.7,8
10.1.1.9,100,10.1.1.8,8
10.1.1.9,100,10.1.1.9,10
10.1.1.9,100,10.1.1.10,10
10.1.1.10,100,10.1.1.1,4
10.1.1.10,100,10.1.1.2,4
10.1.1.10,100,10.1.1.3,8
10.1.1.10,100,10.1.1.4,4
10.1.1.10,100,10.1.1.5,6
10.1.1.10,100,10.1.1.6,5
10.1.1.10,100,10.1.1.7,4
10.1.1.10,100,10.1.1.8,6
10.1.1.10,100,10.1.1.9,10
10.1.1.10,100,10.1.1.10,10
10.1.1.1,110,10.1.1.1,10
10.1.1.1,110,10.1.1.2,3
10.1.1.1,110,10.1.1.3,6
10.1.1.1,110,10.1.1.4,4
10.1.1.1,110,10.1.1.5,4
10.1.1.1,110,10.1.1.6,4
10.1.1.1,110,10.1.1.7,6
10.1.1.1,110,10.1.1.8,4
10.1.1.1,110,10.1.1.9,8
10.1.1.1,110,10.1.1.10,4
10.1.1.2,110,10.1.1.1,4
10.1.1.2,110,10.1.1.2,10
10.1.1.2,110,10.1.1.3,4
10.1.1.2,110,10.1.1.4,4
10.1.1.2,110,10.1.1.5,4
10.1.1.2,110,10.1.1.6,7
10.1.1.2,110,10.1.1.7,6
10.1.1.2,110,10.1.1.8,4
10.1.1.2,110,10.1.1.9,8
10.1.1.2,110,10.1.1.10,4
10.1.1.3,110,10.1.1.1,2
10.1.1.3,110,10.1.1.2,2
10.1.1.3,110,10.1.1.3,10
10.1.1.3,110,10.1.1.4,6
10.1.1.3,110,10.1.1.5,2
10.1.1.3,110,10.1.1.6,4
10.1.1.3,110,10.1.1.7,5
10.1.1.3,110,10.1.1.8,2
10.1.1.3,110,10.1.1.9,4
10.1.1.3,110,10.1.1.10,6
10.1.1.4,110,10.1.1.1,6
10.1.1.4,110,10.1.1.2,4
10.1.1.4,110,10.1.1.3,2
10.1.1.4,110,10.1.1.4,10
10.1.1.4,110,10.1.1.5,6
10.1.1.4,110,10.1.1.6,4
10.1.1.4,110,10.1.1.7,2
10.1.1.4,110,10.1.1.8,4
10.1.1.4,110,10.1.1.9,8
10.1.1.4,110,10.1.1.10,4
10.1.1.5,110,10.1.1.1,4
10.1.1.5,110,10.1.1.2,7
10.1.1.5,110,10.1.1.3,4
10.1.1.5,110,10.1.1.4,4
10.1.1.5,110,10.1.1.5,10
10.1.1.5,110,10.1.1.6,2
10.1.1.5,110,10.1.1.7,6
10.1.1.5,110,10.1.1.8,4
10.1.1.5,110,10.1.1.9,4
10.1.1.5,110,10.1.1.10,6
10.1.1.6,110,10.1.1.1,4
10.1.1.6,110,10.1.1.2,6
10.1.1.6,110,10.1.1.3,4
10.1.1.6,110,10.1.1.4,4
10.1.1.6,110,10.1.1.5,4
10.1.1.6,110,10.1.1.6,10
10.1.1.6,110,10.1.1.7,6
10.1.1.6,110,10.1.1.8,2
10.1.1.6,110,10.1.1.9,4
10.1.1.6,110,10.1.1.10,6
10.1.1.7,110,10.1.1.1,6
10.1.1.7,110,10.1.1.2,6
10.1.1.7,110,10.1.1.3,6
10.1.1.7,110,10.1.1.4,2
10.1.1.7,110,10.1.1.5,6
10.1.1.7,110,10.1.1.6,4
10.1.1.7,110,10.1.1.7,10
10.1.1.7,110,10.1.1.8,4
10.1.1.7,110,10.1.1.9,8
10.1.1.7,110,10.1.1.10,6
10.1.1.8,110,10.1.1.1,4
10.1.1.8,110,10.1.1.2,4
10.1.1.8,110,10.1.1.3,2
10.1.1.8,110,10.1.1.4,3
10.1.1.8,110,10.1.1.5,2
10.1.1.8,110,10.1.1.6,2
10.1.1.8,110,10.1.1.7,4
10.1.1.8,110,10.1.1.8,10
10.1.1.8,110,10.1.1.9,8
10.1.1.8,110,10.1.1.10,4
10.1.1.9,110,10.1.1.1,7
10.1.1.9,110,10.1.1.2,7
10.1.1.9,110,10.1.1.3,0
10.1.1.9,110,10.1.1.4,8
10.1.1.9,110,10.1.1.5,0
10.1.1.9,110,10.1.1.6,3
10.1.1.9,110,10.1.1.7,8
10.1.1.9,110,10.1.1.8,8
10.1.1.9,110,10.1.1.9,10
10.1.1.9,110,10.1.1.10,8
10.1.1.10,110,10.1.1.1,4
10.1.1.10,110,10.1.1.2,2
10.1.1.10,110,10.1.1.3,6
10.1.1.10,110,10.1.1.4,2
10.1.1.10,110,10.1.1.5,6
10.1.1.10,110,10.1.1.6,5
10.1.1.10,110,10.1.1.7,4
10.1.1.10,110,10.1.1.8,4
10.1.1.10,110,10.1.1.9,10
10.1.1.10,110,10.1.1.10,10
10.1.1.1,120,10.1.1.1,10
10.1.1.1,120,10.1.1.2,3
10.1.1.1,120,10.1.1.3,6
10.1.1.1,120,10.1.1.4,4
10.1.1.1,120,10.1.1.5,4
10.1.1.1,120,10.1.1.6,4
10.1.1.1,120,10.1.1.7,6
10.1.1.1,120,10.1.1.8,4
10.1.1.1,120,10.1.1.9,6
10.1.1.1,120,10.1.1.10,4
10.1.1.2,120,10.1.1.1,4
10.1.1.2,120,10.1.1.2,10
10.1.1.2,120,10.1.1.3,4
10.1.1.2,120,10.1.1.4,4
10.1.1.2,120,10.1.1.5,4
10.1.1.2,120,10.1.1.6,7
10.1.1.2,120,10.1.1.7,6
10.1.1.2,120,10.1.1.8,2
10.1.1.2,120,10.1.1.9,8
10.1.1.2,120,10.1.1.10,4
10.1.1.3,120,10.1.1.1,2
10.1.1.3,120,10.1.1.2,2
10.1.1.3,120,10.1.1.3,10
10.1.1.3,120,10.1.1.4,6
10.1.1.3,120,10.1.1.5,2
10.1.1.3,120,10.1.1.6,4
10.1.1.3,120,10.1.1.7,5
10.1.1.3,120,10.1.1.8,2
10.1.1.3,120,10.1.1.9,2
10.1.1.3,120,10.1.1.10,6
10.1.1.4,120,10.1.1.1,6
10.1.1.4,120,10.1.1.2,4
10.1.1.4,120,10.1.1.3,2
10.1.1.4,120,10.1.1.4,10
10.1.1.4,120,10.1.1.5,6
10.1.1.4,120,10.1.1.6,4
10.1.1.4,120,10.1.1.7,2
10.1.1.4,120,10.1.1.8,4
10.1.1.4,120,10.1.1.9,8
10.1.1.4,120,10.1.1.10,4
10.1.1.5,120,10.1.1.1,4
10.1.1.5,120,10.1.1.2,7
10.1.1.5,120,10.1.1.3,4
10.1.1.5,120,10.1.1.4,4
10.1.1.5,120,10.1.1.5,10
10.1.1.5,120,10.1.1.6,2
10.1.1.5,120,10.1.1.7,6
10.1.1.5,120,10.1.1.8,2
10.1.1.5,120,10.1.1.9,4
10.1.1.5,120,10.1.1.10,6
10.1.1.6,120,10.1.1.1,4
10.1.1.6,120,10.1.1.2,6
10.1.1.6,120,10.1.1.3,4
10.1.1.6,120,10.1.1.4,4
10.1.1.6,120,10.1.1.5,4
10.1.1.6,120,10.1.1.6,10
10.1.1.6,120,10.1.1.7,6
10.1.1.6,120,10.1.1.8,2
10.1.1.6,120,10.1.1.9,4
10.1.1.6,120,10.1.1.10,6
10.1.1.7,120,10.1.1.1,6
10.1.1.7,120,10.1.1.2,6
10.1.1.7,120,10.1.1.3,6
10.1.1.7,120,10.1.1.4,0
10.1.1.7,120,10.1.1.5,6
10.1.1.7,120,10.1.1.6,2
10.1.1.7,120,10.1.1.7,10
10.1.1.7,120,10.1.1.8,4
10.1.1.7,120,10.1.1.9,8
10.1.1.7,120,10.1.1.10,6
10.1.1.8,120,10.1.1.1,4
10.1.1.8,120,10.1.1.2,4
10.1.1.8,120,10.1.1.3,2
10.1.1.8,120,10.1.1.4,3
10.1.1.8,120,10.1.1.5,2
10.1.1.8,120,10.1.1.6,0
10.1.1.8,120,10.1.1.7,4
10.1.1.8,120,10.1.1.8,10
10.1.1.8,120,10.1.1.9,8
10.1.1.8,120,10.1.1.10,4
10.1.1.9,120,10.1.1.1,7
10.1.1.9,120,10.1.1.2,7
10.1.1.9,120,10.1.1.3,0
10.1.1.9,120,10.1.1.4,8
10.1.1.9,120,10.1.1.5,0
10.1.1.9,120,10.1.1.6,3
10.1.1.9,120,10.1.1.7,8
10.1.1.9,120,10.1.1.8,8
10.1.1.9,120,10.1.1.9,10
10.1.1.9,120,10.1.1.10,8
10.1.1.10,120,10.1.1.1,4
10.1.1.10,120,10.1.1.2,2
10.1.1.10,120,10.1.1.3,6
10.1.1.10,120,10.1.1.4,2
10.1.1.10,120,10.1.1.5,6
10.1.1.10,120,10.1.1.6,5
10.1.1.10,120,10.1.1.7,4
10.1.1.10,120,10.1.1.8,2
10.1.1.10,120,10.1.1.9,10
10.1.1.10,120,10.1.1.10,10
10.1.1.1,130,10.1.1.1,10
10.1.1.1,130,10.1.1.2,3
10.1.1.1,130,10.1.1.3,4
10.1.1.1,130,10.1.1.4,4
10.1.1.1,130,10.1.1.5,4
10.1.1.1,130,10.1.1.6,4
10.1.1.1,130,10.1.1.7,6
10.1.1.1,130,10.1.1.8,4
10.1.1.1,130,10.1.1.9,6
10.1.1.1,130,10.1.1.10,4
10.1.1.2,130,10.1.1.1,4
10.1.1.2,130,10.1.1.2,10
10.1.1.2,130,10.1.1.3,4
10.1.1.2,130,10.1.1.4,4
10.1.1.2,130,10.1.1.5,4
10.1.1.2,130,10.1.1.6,7
10.1.1.2,130,10.1.1.7,6
10.1.1.2,130,10.1.1.8,0
10.1.1.2,130,10.1.1.9,8
10.1.1.2,130,10.1.1.10,4
10.1.1.3,130,10.1.1.1,2
10.1.1.3,130,10.1.1.2,2
10.1.1.3,130,10.1.1.3,10
10.1.1.3,130,10.1.1.4,4
10.1.1.3,130,10.1.1.5,2
10.1.1.3,130,10.1.1.6,2
10.1.1.3,130,10.1.1.7,5
10.1.1.3,130,10.1.1.8,0
10.1.1.3,130,10.1.1.9,2
10.1.1.3,130,10.1.1.10,6
10.1.1.4,130,10.1.1.1,4
10.1.1.4,130,10.1.1.2,4
10.1.1.4,130,10.1.1.3,2
10.1.1.4,130,10.1.1.4,10
10.1.1.4,130,10.1.1.5,4
10.1.1.4,130,10.1.1.6,4
10.1.1.4,130,10.1.1.7,2
10.1.1.4,130,10.1.1.8,4
10.1.1.4,130,10.1.1.9,8
10.1.1.4,130,10.1.1.10,2
10.1.1.5,130,10.1.1.1,4
10.1.1.5,130,10.1.1.2,5
10.1.1.5,130,10.1.1.3,4
10.1.1.5,130,10.1.1.4,4
10.1.1.5,130,10.1.1.5,10
10.1.1.5,130,10.1.1.6,2
10.1.1.5,130,10.1.1.7,6
10.1.1.5,130,10.1.1.8,2
10.1.1.5,130,10.1.1.9,2
10.1.1.5,130,10.1.1.10,6
10.1.1.6,130,10.1.1.1,4
10.1.1.6,130,10.1.1.2,4
10.1.1.6,130,10.1.1.3,4
10.1.1.6,130,10.1.1.4,4
10.1.1.6,130,10.1.1.5,4
10.1.1.6,130,10.1.1.6,10
10.1.1.6,130,10.1.1.7,6
10.1.1.6,130,10.1.1.8,2
10.1.1.6,130,10.1.1.9,4
10.1.1.6,130,10.1.1.10,6
10.1.1.7,130,10.1.1.1,4
10.1.1.7,130,10.1.1.2,6
10.1.1.7,130,10.1.1.3,5
10.1.1.7,130,10.1.1.4,0
10.1.1.7,130,10.1.1.5,6
10.1.1.7,130,10.1.1.6,0
10.1.1.7,130,10.1.1.7,10
10.1.1.7,130,10.1.1.8,2
10.1.1.7,130,10.1.1.9,8
10.1.1.7,130,10.1.1.10,6
10.1.1.8,130,10.1.1.1,2
10.1.1.8,130,10.1.1.2,2
10.1.1.8,130,10.1.1.3,2
10.1.1.8,130,10.1.1.4,3
10.1.1.8,130,10.1.1.5,2
10.1.1.8,130,10.1.1.6,0
10.1.1.8,130,10.1.1.7,2
10.1.1.8,130,10.1.1.8,10
10.1.1.8,130,10.1.1.9,6
10.1.1.8,130,10.1.1.10,2
10.1.1.9,130,10.1.1.1,6
10.1.1.9,130,10.1.1.2,7
10.1.1.9,130,10.1.1.3,0
10.1.1.9,130,10.1.1.4,6
10.1.1.9,130,10.1.1.5,0
10.1.1.9,130,10.1.1.6,3
10.1.1.9,130,10.1.1.7,8
10.1.1.9,130,10.1.1.8,8
10.1.1.9,130,10.1.1.9,10
10.1.1.9,130,10.1.1.10,6
10.1.1.10,130,10.1.1.1,4
10.1.1.10,130,10.1.1.2,2
10.1.1.10,130,10.1.1.3,6
10.1.1.10,130,10.1.1.4,0
10.1.1.10,130,10.1.1.5,4
10.1.1.10,130,10.1.1.6,3
10.1.1.10,130,10.1.1.7,4
10.1.1.10,130,10.1.1.8,2
10.1.1.10,130,10.1.1.9,8
10.1.1.10,130,10.1.1.10,10
10.1.1.1,140,10.1.1.1,10
10.1.1.1,140,10.1.1.2,3
10.1.1.1,140,10.1.1.3,4
10.1.1.1,140,10.1.1.4,4
10.1.1.1,140,10.1.1.5,4
10.1.1.1,140,10.1.1.6,2
10.1.1.1,140,10.1.1.7,4
10.1.1.1,140,10.1.1.8,2
10.1.1.1,140,10.1.1.9,6
10.1.1.1,140,10.1.1.10,4
10.1.1.2,140,10.1.1.1,2
10.1.1.2,140,10.1.1.2,10
10.1.1.2,140,10.1.1.3,4
10.1.1.2,140,10.1.1.4,2
10.1.1.2,140,10.1.1.5,2
10.1.1.2,140,10.1.1.6,5
10.1.1.2,140,10.1.1.7,4
10.1.1.2,140,10.1.1.8,0
10.1.1.2,140,10.1.1.9,6
10.1.1.2,140,10.1.1.10,4
10.1.1.3,140,10.1.1.1,2
10.1.1.3,140,10.1.1.2,2
10.1.1.3,140,10.1.1.3,10
10.1.1.3,140,10.1.1.4,4
10.1.1.3,140,10.1.1.5,0
10.1.1.3,140,10.1.1.6,2
10.1.1.3,140,10.1.1.7,5
10.1.1.3,140,10.1.1.8,0
10.1.1.3,140,10.1.1.9,2
10.1.1.3,140,10.1.1.10,4
10.1.1.4,140,10.1.1.1,4
10.1.1.4,140,10.1.1.2,2
10.1.1.4,140,10.1.1.3,2
10.1.1.4,140,10.1.1.4,10
10.1.1.4,140,10.1.1.5,4
10.1.1.4,140,10.1.1.6,2
10.1.1.4,140,10.1.1.7,0
10.1.1.4,140,10.1.1.8,2
10.1.1.4,140,10.1.1.9,8
10.1.1.4,140,10.1.1.10,2
10.1.1.5,140,10.1.1.1,4
10.1.1.5,140,10.1.1.2,5
10.1.1.5,140,10.1.1.3,2
10.1.1.5,140,10.1.1.4,4
10.1.1.5,140,10.1.1.5,10
10.1.1.5,140,10.1.1.6,2
10.1.1.5,140,10.1.1.7,6
10.1.1.5,140,10.1.1.8,0
10.1.1.5,140,10.1.1.9,2
10.1.1.5,140,10.1.1.10,4
10.1.1.6,140,10.1.1.1,4
10.1.1.6,140,10.1.1.2,4
10.1.1.6,140,10.1.1.3,2
10.1.1.6,140,10.1.1.4,4
10.1.1.6,140,10.1.1.5,2
10.1.1.6,140,10.1.1.6,10
10.1.1.6,140,10.1.1.7,6
10.1.1.6,140,10.1.1.8,0
10.1.1.6,140,10.1.1.9,2
10.1.1.6,140,10.1.1.10,6
10.1.1.7,140,10.1.1.1,2
10.1.1.7,140,10.1.1.2,4
10.1.1.7,140,10.1.1.3,5
10.1.1.7,140,10.1.1.4,0
10.1.1.7,140,10.1.1.5,4
10.1.1.7,140,10.1.1.6,0
10.1.1.7,140,10.1.1.7,10
10.1.1.7,140,10.1.1.8,0
10.1.1.7,140,10.1.1.9,8
10.1.1.7,140,10.1.1.10,4
10.1.1.8,140,10.1.1.1,2
10.1.1.8,140,10.1.1.2,2
10.1.1.8,140,10.1.1.3,0
10.1.1.8,140,10.1.1.4,1
10.1.1.8,140,10.1.1.5,2
10.1.1.8,140,10.1.1.6,0
10.1.1.8,140,10.1.1.7,2
10.1.1.8,140,10.1.1.8,10
10.1.1.8,140,10.1.1.9,6
10.1.1.8,140,10.1.1.10,2
10.1.1.9,140,10.1.1.1,6
10.1.1.9,140,10.1.1.2,5
10.1.1.9,140,10.1.1.3,0
10.1.1.9,140,10.1.1.4,6
10.1.1.9,140,10.1.1.5,0
10.1.1.9,140,10.1.1.6,1
10.1.1.9,140,10.1.1.7,6
10.1.1.9,140,10.1.1.8,6
10.1.1.9,140,10.1.1.9,10
10.1.1.9,140,10.1.1.10,6
10.1.1.10,140,10.1.1.1,2
10.1.1.10,140,10.1.1.2,0
10.1.1.10,140,10.1.1.3,6
10.1.1.10,140,10.1.1.4,0
10.1.1.10,140,10.1.1.5,4
10.1.1.10,140,10.1.1.6,3
10.1.1.10,140,10.1.1.7,4
10.1.1.10,140,10.1.1.8,2
10.1.1.10,140,10.1.1.9,8
10.1.1.10,140,10.1.1.10,10
